STATION,DATE,avg(TEMP)
7255,20130531,9.0000000000
7280,20130501,12.3500000000
7280,20130502,13.0375000000
7280,20130503,11.5625000000
7280,20130504,12.8375000000
7280,20130505,14.9125000000
7280,20130506,15.1500000000
7280,20130507,14.1000000000
7280,20130508,14.3125000000
7280,20130509,15.4000000000
7280,20130510,12.1625000000
7280,20130511,11.8375000000
7280,20130512,11.0750000000
7280,20130513,10.5625000000
7280,20130514,13.0500000000
7280,20130515,11.4875000000
7280,20130516,9.3250000000
7280,20130517,10.5500000000
7280,20130518,11.1000000000
7280,20130519,10.0750000000
7280,20130520,9.5125000000
7280,20130521,10.0375000000
7280,20130522,9.2250000000
7280,20130523,7.4750000000
7280,20130524,5.7250000000
7280,20130525,7.6250000000
7280,20130526,8.9875000000
7280,20130527,11.9625000000
7280,20130528,10.4750000000
7280,20130529,9.4875000000
7280,20130530,9.1875000000
7280,20130531,9.1000000000
7299,20130501,11.6750000000
7299,20130502,13.6125000000
7299,20130503,12.0375000000
7299,20130504,12.7625000000
7299,20130505,13.2750000000
7299,20130506,14.9500000000
7299,20130507,15.8250000000
7299,20130508,17.0125000000
7299,20130509,16.5250000000
7299,20130510,13.4375000000
7299,20130511,11.8375000000
7299,20130512,10.8750000000
7299,20130513,12.3625000000
7299,20130514,14.0875000000
7299,20130515,14.1250000000
7299,20130516,11.5625000000
7299,20130517,11.3250000000
7299,20130518,14.8750000000
7299,20130519,11.3500000000
7299,20130520,11.1375000000
7299,20130521,10.6625000000
7299,20130522,10.0500000000
7299,20130523,8.9500000000
7299,20130524,7.5500000000
7299,20130525,7.5250000000
7299,20130526,8.6125000000
7299,20130527,12.6500000000
7299,20130528,13.0750000000
7299,20130529,10.0375000000
7299,20130530,12.3500000000
7299,20130531,10.4000000000
7314,20130501,11.1125000000
7314,20130502,12.1500000000
7314,20130503,11.3125000000
7314,20130504,12.7875000000
7314,20130505,13.4625000000
7314,20130506,15.0125000000
7314,20130507,15.1875000000
7314,20130508,14.7625000000
7314,20130509,13.0625000000
7314,20130510,13.0625000000
7314,20130511,13.1500000000
7314,20130512,12.6500000000
7314,20130513,12.8750000000
7314,20130514,12.7000000000
7314,20130515,12.0375000000
7314,20130516,11.4875000000
7314,20130517,12.2000000000
7314,20130518,12.5375000000
7314,20130519,12.1375000000
7314,20130520,11.8500000000
7314,20130521,12.9250000000
7314,20130522,13.8625000000
7314,20130523,12.3500000000
7314,20130524,11.0750000000
7314,20130525,11.5250000000
7314,20130526,12.8375000000
7314,20130527,13.9125000000
7314,20130528,12.2500000000
7314,20130529,11.7000000000
7314,20130530,13.1750000000
7314,20130531,12.8000000000
7335,20130501,10.7375000000
7335,20130502,8.6750000000
7335,20130503,11.6250000000
7335,20130504,12.6125000000
7335,20130505,13.8625000000
7335,20130506,14.3750000000
7335,20130507,16.1750000000
7335,20130508,15.2500000000
7335,20130509,11.6000000000
7335,20130510,9.9000000000
7335,20130511,12.4875000000
7335,20130512,11.6375000000
7335,20130513,11.5875000000
7335,20130514,12.2875000000
7335,20130515,10.5375000000
7335,20130516,8.6000000000
7335,20130517,11.2625000000
7335,20130518,9.6875000000
7335,20130519,9.5250000000
7335,20130520,10.3500000000
7335,20130521,13.0750000000
7335,20130522,13.6125000000
7335,20130523,10.7875000000
7335,20130524,7.3625000000
7335,20130525,8.6375000000
7335,20130526,10.1750000000
7335,20130527,12.9000000000
7335,20130528,11.4250000000
7335,20130529,9.9500000000
7335,20130530,10.9250000000
7335,20130531,11.6000000000
7434,20130501,11.5375000000
7434,20130502,8.5500000000
7434,20130503,9.2250000000
7434,20130504,11.4875000000
7434,20130505,14.6375000000
7434,20130506,14.9625000000
7434,20130507,15.2625000000
7434,20130508,14.4875000000
7434,20130509,11.7500000000
7434,20130510,9.0500000000
7434,20130511,10.1000000000
7434,20130512,9.7375000000
7434,20130513,9.3375000000
7434,20130514,11.5000000000
7434,20130515,9.1375000000
7434,20130516,8.4750000000
7434,20130517,10.3250000000
7434,20130518,8.8625000000
7434,20130519,7.2000000000
7434,20130520,8.1875000000
7434,20130521,9.9500000000
7434,20130522,11.0750000000
7434,20130523,9.0000000000
7434,20130524,5.7500000000
7434,20130525,6.2625000000
7434,20130526,8.8250000000
7434,20130527,12.5125000000
7434,20130528,9.4625000000
7434,20130529,7.9625000000
7434,20130530,8.8000000000
7434,20130531,9.7000000000
7460,20130501,12.7500000000
7460,20130502,12.0625000000
7460,20130503,12.6750000000
7460,20130504,12.8000000000
7460,20130505,12.3625000000
7460,20130506,13.6125000000
7460,20130507,14.1750000000
7460,20130508,14.3125000000
7460,20130509,14.9500000000
7460,20130510,12.1500000000
7460,20130511,12.5750000000
7460,20130512,11.3250000000
7460,20130513,12.0875000000
7460,20130514,15.4750000000
7460,20130515,10.9500000000
7460,20130516,8.6625000000
7460,20130517,9.9000000000
7460,20130518,8.2375000000
7460,20130519,9.7375000000
7460,20130520,11.1375000000
7460,20130521,11.0500000000
7460,20130522,11.4000000000
7460,20130523,9.0000000000
7460,20130524,6.8875000000
7460,20130525,7.4000000000
7460,20130526,8.4875000000
7460,20130527,11.9875000000
7460,20130528,11.5750000000
7460,20130529,9.7375000000
7460,20130530,10.3375000000
7460,20130531,9.3000000000
7471,20130501,10.7000000000
7471,20130502,9.8875000000
7471,20130503,8.9000000000
7471,20130504,8.7750000000
7471,20130505,10.5250000000
7471,20130506,11.8250000000
7471,20130507,11.2750000000
7471,20130508,12.5500000000
7471,20130509,13.2000000000
7471,20130510,9.0375000000
7471,20130511,8.5375000000
7471,20130512,7.9750000000
7471,20130513,10.5750000000
7471,20130514,13.0250000000
7471,20130515,9.7250000000
7471,20130516,4.9000000000
7471,20130517,7.1625000000
7471,20130518,6.3750000000
7471,20130519,6.7375000000
7471,20130520,7.4625000000
7471,20130521,8.2500000000
7471,20130522,8.5375000000
7471,20130523,6.3875000000
7471,20130524,3.6000000000
7471,20130525,3.8750000000
7471,20130526,6.1125000000
7471,20130527,8.8000000000
7471,20130528,7.5625000000
7471,20130529,5.6875000000
7471,20130530,6.9125000000
7471,20130531,6.9000000000
7481,20130501,13.1750000000
7481,20130502,14.0125000000
7481,20130503,11.9125000000
7481,20130504,12.3750000000
7481,20130505,13.3500000000
7481,20130506,15.6750000000
7481,20130507,16.0875000000
7481,20130508,17.2500000000
7481,20130509,16.6125000000
7481,20130510,12.7625000000
7481,20130511,13.0500000000
7481,20130512,11.7000000000
7481,20130513,12.8125000000
7481,20130514,16.4875000000
7481,20130515,13.8875000000
7481,20130516,8.6375000000
7481,20130517,10.9285714286
7481,20130518,10.7625000000
7481,20130519,10.9875000000
7481,20130520,12.6750000000
7481,20130521,11.7875000000
7481,20130522,10.3500000000
7481,20130523,9.6625000000
7481,20130524,7.5375000000
7481,20130525,7.7375000000
7481,20130526,9.8000000000
7481,20130527,12.0857142857
7481,20130528,12.1000000000
7481,20130529,10.0000000000
7481,20130530,10.6250000000
7481,20130531,10.5000000000
7510,20130501,12.1000000000
7510,20130502,12.4125000000
7510,20130503,13.5125000000
